player,team,position,most_common_pos,notes
Toby Greene,GWS,FwdMid,RR,
Xavier O'Halloran,GWS,FwdMid,HFFR,
Blake Hardwick,HAW,GenD,HBFR,
Cam Mackenzie,HAW,InsM,C,
Connor Macdonald,HAW,FwdMid,FF,
Dylan Moore,HAW,Wing,WL,
Harry Morrison,HAW,InsM,C,
Jack Ginnivan,HAW,SmF,HFFL,
Jack Gunston,HAW,KeyF,FPR,
Jai Newcombe,HAW,InsM,RR,
James Sicily,HAW,KeyD,CHB,
Jarman Impey,HAW,GenD,BPR,
Josh Battle,HAW,KeyD,HBFL,
Josh Ward,HAW,Wing,WR,
Josh Weddle,HAW,GenD,BPL,
Karl Amon,HAW,GenD,BPL,
Lloyd Meek,HAW,Ruck,RK,
Mabior Chol,HAW,KeyF,FF,
Massimo D'Ambrosio,HAW,Wing,WR,
Mitch Lewis,HAW,KeyF,FPL,Tall forward - reclassify to KeyF
Nick Watson,HAW,SmF,HFFR,
Tom Barrass,HAW,KeyD,FB,
Bayley Fritsch,MEL,MedF,FPL,
Blake Howes,MEL,GenD,BPR,
Brody Mihocek,MEL,KeyF,FF,
Caleb Windsor,MEL,InsM,RR,
Changkuoth Jiath,MEL,GenD,BPR,
Christian Salem,MEL,GenD,HBFR,
Daniel Turner,MEL,GenD,BPL,
Ed Langdon,MEL,Wing,HFFR,
Harrison Petty,MEL,KeyD,CHB,
Harvey Langford,MEL,Wing,WR,
Jack Steele,MEL,InsM,C,
Jacob van Rooyen,MEL,KeyF,CHF,
Jai Culley,MEL,InsM,C,
Jake Lever,MEL,KeyD,FB,
Kade Chandler,MEL,Wing,WL,
Koltyn Tholstrup,MEL,MedF,HFFL,
Kysaiah Pickett,MEL,FwdMid,FPR,
Max Gawn,MEL,Ruck,RK,
Tom Sparrow,MEL,InsM,HBFL,
Trent Rivers,MEL,InsM,R,
Caleb Daniel,NTH,GenD,CHB,
Cameron Zurhaar,NTH,MedF,FPL,
Charlie Comben,NTH,GenD,BPR,
Cooper Trembath,NTH,KeyF,CHF,
Dylan Stephens,NTH,Wing,WR,
Finn O'Sullivan,NTH,GenD,HBFL,
Griffin Logue,NTH,KeyD,FB,
Harry Sheezel,NTH,InsM,R,
Jacob Konstanty,NTH,SmF,HFFR,
Jy Simpkin,NTH,Wing,WL,
Lachy Dovaston,NTH,SmF,FPR,
Luke Davies-Uniacke,NTH,InsM,RR,
Luke Parker,NTH,FwdMid,FPR,Plays forward-mid split
Nick Larkey,NTH,KeyF,FF,
Paul Curtis,NTH,MedF,HFFL,
Toby Pink,NTH,KeyD,BPL,
Tom Blamires,NTH,GenD,HBFR,
Tom Powell,NTH,InsM,C,
Tristan Xerri,NTH,Ruck,RK,
Aliir Aliir,PTA,KeyD,CHB,
Connor Rozee,PTA,InsM,C,
Corey Durdin,PTA,MedF,FPL,
Dante Visentini,PTA,Ruck,RK,
Darcy Byrne-Jones,PTA,GenD,FPL,Defender - reclassify to GenD
Esava Ratugolea,PTA,KeyD,FB,
Ewan Mackinlay,PTA,Wing,WR,
Jack Lukosius,PTA,KeyF,HFFR,
Jack Whitlock,PTA,KeyF,FF,
Jackson Mead,PTA,GenD,BPL,
Jacob Wehr,PTA,Wing,WR,
Jase Burgoyne,PTA,Wing,WL,
Jason Horne-Francis,PTA,FwdMid,HFFL,Plays forward-mid split
Joe Berry,PTA,SmF,HFFR,
Joe Richards,PTA,MedF,FPR,
Jordon Sweet,PTA,Ruck,RK,
Kane Farrell,PTA,GenD,HBFR,
Lachie Jones,PTA,GenD,BPL,
Logan Evans,PTA,GenD,HBFL,
Miles Bergman,PTA,GenD,HBFL,
Mitch Georgiades,PTA,KeyF,CHF,
Ollie Lord,PTA,KeyF,FF,
Todd Marshall,PTA,GenD,BPR,
Willem Drew,PTA,InsM,R,
Zak Butters,PTA,InsM,RR,
Ben Miller,RIC,KeyD,FB,
Dion Prestia,RIC,InsM,CHF,
Harry Armstrong,RIC,KeyF,FPR,
Hugo Ralphsmith,RIC,Wing,WL,
Jack Ross,RIC,InsM,C,
Jacob Hopper,RIC,InsM,R,
James Trezise,RIC,Wing,WR,
Jayden Short,RIC,GenD,HBFL,
Jonty Faull,RIC,KeyF,FPL,
Kane McAuliffe,RIC,Wing,WR,
Maurice Rioli,RIC,SmF,HFFR,
Nathan Broad,RIC,GenD,BPR,
Nick Vlastuin,RIC,GenD,HBFR,
Noah Balta,RIC,KeyD,BPL,
Rhyan Mansell,RIC,SmF,HFFR,
Sam Banks,RIC,GenD,CHB,
Sam Grlj,RIC,GenD,HBFL,
Sam Lalor,RIC,FwdMid,FPL,
Seth Campbell,RIC,SmF,HFFL,
Tim Taranto,RIC,InsM,RR,
Toby Nankervis,RIC,Ruck,RK,
Tom Lynch,RIC,KeyF,FF,
Alix Tauru,STK,KeyD,HBFL,
Anthony Caminiti,STK,KeyD,BPR,
Bradley Hill,STK,Wing,CHB,
Callum Wilkie,STK,KeyD,FB,
Cooper Sharman,STK,KeyF,FF,
Darcy Wilson,STK,Wing,WR,
Hugh Boxshall,STK,KeyF,CHF,
Hugo Garcia,STK,InsM,HFFL,
Jack Carroll,STK,Wing,HBFL,
Jack Higgins,STK,SmF,FPR,
Jack Silvagni,STK,KeyD,BPL,
Jack Sinclair,STK,GenD,R,
Liam Ryan,STK,MedF,FPL,
Liam Stocker,STK,GenD,HBFL,
Marcus Windhager,STK,Wing,WL,
Mason Wood,STK,KeyF,CHF,
Mattaes Phillipou,STK,FwdMid,HFFL,
Max Hall,STK,InsM,C,
Mitch Owens,STK,MedF,HFFR,
Nasiah Wanganeen-Milera,STK,GenD,HBFR,
