Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,TOG Trend,CBA Trend,Role Status,Score,Bet Flag,Avg vs Line,Line Consistency,Overall Score,Bet Confidence,Line,Actual,W/L,Uncertain Role,Notes,Avg v Line CALC,Line Consistency CALC
Mark,12,Eric Hipwood,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,📈 Increasing,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,-6%,73%,5,,5.5,5,1,,,1,1
Mark,12,Jaspa Fletcher,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,4.0 - Consider,🟡 CONSIDER,-13%,64%,5.5,,6.5,12,-1,,,1,0.5
Disposal,12,Jarrod Berry,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,4.0 - Consider,🟡 CONSIDER,-3%,70%,5,,19,25,-1,,,0,1
Mark,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,11%,45%,4,,6.5,12,-1,,,0,0
Disposal,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,0%,55%,3.5,,13,16,-1,,,0,0.5
Disposal,12,Jack Payne,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,10%,50%,3,,10.5,17,-1,,,0,0
Disposal,12,Mason Redman,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,8%,50%,5,,19.5,26,-1,,,0,0
Disposal,12,Archie Roberts,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,2%,40%,5,,24,20,1,,,0,0
Disposal,12,Nate Caddy,ESS,BRL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🟡 CONSIDER,9%,40%,5,,10.5,10,1,,,0,0
Disposal,12,Andrew McGrath,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🚫 SKIP - Position,6%,40%,4,,22,15,1,,,0,0
Disposal,12,Jaxon Prior,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🚫 SKIP - Position,5%,40%,4,,15.5,14,1,,,0,0
Mark,12,Peter Wright,ESS,BRL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,3.0 - Consider,🟡 CONSIDER,17%,50%,3,,5,6,-1,,,0,0
Disposal,12,Peter Wright,ESS,BRL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,28%,33%,4,,11.5,15,-1,,,0,0
Disposal,12,Michael Frederick,FRE,GCS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,1%,46%,4,,12,7,1,,,0,0
Disposal,12,Karl Worner,FRE,GCS,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,1%,50%,4,,13.5,10,1,,,0,0
Disposal,12,Andrew Brayshaw,FRE,GCS,InsM,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,-4%,55%,5.5,,29,30,-1,,,0,0.5
Disposal,12,Murphy Reid,FRE,GCS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,0%,36%,4,,13.5,14,-1,,,0,0
Disposal,12,Mac Andrew,GCS,FRE,KeyD,✅ Neutral,⚠️ Medium Unders Edge (Rain),✅ Neutral,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,4.0 - Consider,🚫 SKIP - Position,-3%,67%,4.5,,13,20,-1,,,0,0.5
Mark,12,Mark O'Connor,GEE,WCE,InsM/Def,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,5.5 - Consider,🚫 SKIP - Position,-12%,64%,7,,6.5,6,1,1,,1,0.5
Disposal,12,Mark O'Connor,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,2%,46%,5,,14.5,15,-1,1,,0,0
Disposal,12,Rhys Stanley,GEE,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,📈 Increasing,⚠️ UNSTABLE,5.0 - Consider,🟡 CONSIDER,-15%,67%,7.5,,12,9,1,,,2,0.5
Mark,12,Tom Stewart,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🟡 CONSIDER,-27%,63%,7,,7.5,7,1,,,2,0.5
Mark,12,Lawson Humphries,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🚫 SKIP - Position,-9%,70%,6.5,,6.5,4,1,,,1,1
Disposal,12,Tom Stewart,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,-22%,67%,6.5,,21,18,1,,,2,0.5
Mark,12,Oliver Dempsey,GEE,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🟡 CONSIDER,-20%,91%,7.5,,5,2,1,,,2,1
Disposal,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🚫 SKIP - Hybrid Position,1%,38%,4,,21.5,26,1,,,0,0
Disposal,12,Shaun Mannagh,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,1%,63%,4.5,,18.5,18,1,,,0,0.5
Mark,12,Shannon Neale,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🟡 CONSIDER,-34%,91%,7.5,,5.5,5,1,,,2,1
Disposal,12,Shannon Neale,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,-18%,82%,7,,9.5,8,1,,,2,1
Disposal,12,Jeremy Cameron,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,-6%,73%,6,,15.5,14,1,,,1,1
Disposal,12,Lawson Humphries,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🚫 SKIP - Position,-1%,60%,4.5,,19.5,12,1,,,0,0.5
Disposal,12,Zach Guthrie,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🚫 SKIP - Position,3%,55%,4.5,,18.5,13,1,,,0,0.5
Mark,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🚫 SKIP - Hybrid Position,9%,44%,4.5,,6,13,1,,,0,0
Mark,12,Jeremy Cameron,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🟡 CONSIDER,-18%,64%,7,,7,7,0,,,2,0.5
Disposal,11,Jeremy Sharp,FRE,PTA,Wing,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,8.0 - Good Play,,-10%,40%,7.5,Consider,16,11,1,,,1,0
Mark,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,📈 Increasing,⚠️ UNSTABLE,5.5 - Consider,🚫 SKIP - Position,-20%,70%,8.5,,6.5,7,-1,,,2,1
Mark,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,📈 Increasing,⚠️ UNSTABLE,5.5 - Consider,🚫 SKIP - Position,4%,64%,6,,5,7,-1,,,0,0.5
Disposal,10,Jeremy Cameron,GEE,PTA,GenF,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4 - Consider,,0%,44%,3,Weak,14.5,16,-1,,,0,0
Disposal,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,📈 Increasing,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,-1%,64%,5.5,,24.5,27,-1,,,0,0.5
Disposal,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4 - Consider,,8%,40%,2.5,Weak,16.5,21,-1,,,0,0
Disposal,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,📈 Increasing,⚠️ UNSTABLE,5.0 - Consider,🚫 SKIP - Position,3%,50%,5,,30,30,-1,,,0,0
Disposal,12,Brad Close,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟡 CONSIDER,-1%,55%,4.5,,12,13,-1,,,0,0.5
Disposal,10,Mitch Owens,STK,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,📉 Declining,📉 LOW USAGE,6 - Good Play,,-4%,50%,5.5,Consider,13.5,12,1,,,0,0
Disposal,11,Nathan Broad,RIC,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4.3 - Consider,,-7%,60%,5.8,AVOID,15,22,-1,,,1,0.5
Disposal,10,Patrick Voss,FRE,GWS,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,📉 Declining,📉 LOW USAGE,5 - Consider,,15%,20%,4,Weak,8.5,11,-1,,,0,0
Mark,12,Harry Himmelberg,GWS,RIC,Wing,✅ Neutral,✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,4.0 - Consider,🟡 CONSIDER,0%,50%,4,,6.5,4,1,,,0,0
Disposal,10,Bayley Fritsch,MEL,BRL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4 - Consider,,1%,50%,3,Weak,9.5,7,1,,,0,0
Disposal,10,Jake Bowey,MEL,BRL,KeyD,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4 - Consider,,5%,56%,3,Weak,23,22,1,,,0,0.5
Disposal,10,Jack Darling,NTH,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,📉 Declining,📉 LOW USAGE,4 - Consider,,-4%,56%,4.5,Consider,10.5,17,-1,,,0,0.5
Disposal,11,Tim Kelly,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📉 Declining,📉 Declining,⚠️ UNSTABLE,7.0 - Consider,,-1%,63%,7.5,Consider,17,17,0,,Role - Unsure,0,0.5
Disposal,10,Bradley Hill,STK,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4 - Consider,,-5%,56%,4,Weak,20,22,-1,,,0,0.5
Disposal,10,Jimmy Webster,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4 - Consider,,-6%,56%,4.5,Consider,14,17,-1,,,1,0.5
Mark,10,Jimmy Webster,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4 - Consider,,-7%,56%,5.5,Consider,5,6,-1,,,1,0.5
Mark,10,Jack Sinclair,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,-6%,67%,5.5,Consider,4.5,7,-1,,,1,0.5
Disposal,10,Jack Sinclair,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,0%,78%,4,Weak,26,38,-1,,,0,1
Disposal,10,Rowan Marshall,STK,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,📈 Increasing,📉 Declining,🎯 STABLE,4 - Consider,,-7%,67%,3.5,Weak,18.5,27,-1,,,1,0.5
Disposal,10,Max Hall,STK,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,-1%,44%,4,Weak,14.5,13,1,,,0,0
Disposal,10,Mattaes Phillipou,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,20%,20%,3.5,Weak,17,14,1,,,0,0
Disposal,10,Christian Salem,MEL,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4 - Consider,,10%,44%,3.5,Weak,20.5,20,1,,,0,0
Mark,10,Christian Salem,MEL,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,📉 Declining,⚠️ Flat,📉 LOW USAGE,4 - Consider,,32%,22%,4.5,Consider,6,8,-1,,,0,0
